f0,W,H,fps,w0,h0,w,h
0,858,480,30,369,199,122,79
0,858,480,30,413,25,122,79
0,858,480,30,479,61,122,79
0,858,480,30,247,64,122,79
0,858,480,30,467,72,122,79
0,858,480,30,392,176,122,79
0,858,480,30,495,190,122,79
0,858,480,30,123,239,122,79
0,858,480,30,646,239,122,79
0,858,480,30,587,240,122,79
30,858,480,30,369,199,122,79
30,858,480,30,413,25,122,79
30,858,480,30,479,61,122,79
30,858,480,30,247,64,122,79
30,858,480,30,467,72,122,79
30,858,480,30,392,176,122,79
30,858,480,30,495,190,122,79
30,858,480,30,123,239,122,79
30,858,480,30,646,239,122,79
30,858,480,30,587,240,122,79
60,858,480,30,369,199,122,79
60,858,480,30,413,25,122,79
60,858,480,30,479,61,122,79
60,858,480,30,247,64,122,79
60,858,480,30,467,72,122,79
60,858,480,30,392,176,122,79
60,858,480,30,495,190,122,79
60,858,480,30,123,239,122,79
60,858,480,30,646,239,122,79
60,858,480,30,587,240,122,79
90,858,480,30,369,199,122,79
90,858,480,30,413,25,122,79
90,858,480,30,479,61,122,79
90,858,480,30,247,64,122,79
90,858,480,30,467,72,122,79
90,858,480,30,392,176,122,79
90,858,480,30,495,190,122,79
90,858,480,30,123,239,122,79
90,858,480,30,646,239,122,79
90,858,480,30,587,240,122,79
120,858,480,30,369,199,122,79
120,858,480,30,413,25,122,79
120,858,480,30,479,61,122,79
120,858,480,30,247,64,122,79
120,858,480,30,467,72,122,79
120,858,480,30,392,176,122,79
120,858,480,30,495,190,122,79
120,858,480,30,123,239,122,79
120,858,480,30,646,239,122,79
120,858,480,30,587,240,122,79
150,858,480,30,369,199,122,79
150,858,480,30,413,25,122,79
150,858,480,30,479,61,122,79
150,858,480,30,247,64,122,79
150,858,480,30,467,72,122,79
150,858,480,30,392,176,122,79
150,858,480,30,495,190,122,79
150,858,480,30,123,239,122,79
150,858,480,30,646,239,122,79
150,858,480,30,587,240,122,79
180,858,480,30,369,199,122,79
180,858,480,30,413,25,122,79
180,858,480,30,479,61,122,79
180,858,480,30,247,64,122,79
180,858,480,30,467,72,122,79
180,858,480,30,392,176,122,79
180,858,480,30,495,190,122,79
180,858,480,30,123,239,122,79
180,858,480,30,646,239,122,79
180,858,480,30,587,240,122,79
210,858,480,30,369,199,122,79
210,858,480,30,413,25,122,79
210,858,480,30,479,61,122,79
210,858,480,30,247,64,122,79
210,858,480,30,467,72,122,79
210,858,480,30,392,176,122,79
210,858,480,30,495,190,122,79
210,858,480,30,123,239,122,79
210,858,480,30,646,239,122,79
210,858,480,30,587,240,122,79
240,858,480,30,369,199,122,79
240,858,480,30,413,25,122,79
240,858,480,30,479,61,122,79
240,858,480,30,247,64,122,79
240,858,480,30,467,72,122,79
240,858,480,30,392,176,122,79
240,858,480,30,495,190,122,79
240,858,480,30,123,239,122,79
240,858,480,30,646,239,122,79
240,858,480,30,587,240,122,79
270,858,480,30,369,199,122,79
270,858,480,30,413,25,122,79
270,858,480,30,479,61,122,79
270,858,480,30,247,64,122,79
270,858,480,30,467,72,122,79
270,858,480,30,392,176,122,79
270,858,480,30,495,190,122,79
270,858,480,30,123,239,122,79
270,858,480,30,646,239,122,79
270,858,480,30,587,240,122,79
300,858,480,30,369,199,122,79
300,858,480,30,413,25,122,79
300,858,480,30,479,61,122,79
300,858,480,30,247,64,122,79
300,858,480,30,467,72,122,79
300,858,480,30,392,176,122,79
300,858,480,30,495,190,122,79
300,858,480,30,123,239,122,79
300,858,480,30,646,239,122,79
300,858,480,30,587,240,122,79
330,858,480,30,369,199,122,79
330,858,480,30,413,25,122,79
330,858,480,30,479,61,122,79
330,858,480,30,247,64,122,79
330,858,480,30,467,72,122,79
330,858,480,30,392,176,122,79
330,858,480,30,495,190,122,79
330,858,480,30,123,239,122,79
330,858,480,30,646,239,122,79
330,858,480,30,587,240,122,79
360,858,480,30,368,200,122,79
360,858,480,30,411,10,122,79
360,858,480,30,444,37,122,79
360,858,480,30,245,71,122,79
360,858,480,30,449,74,122,79
360,858,480,30,427,127,122,79
360,858,480,30,353,123,122,79
360,858,480,30,385,190,122,79
360,858,480,30,461,179,122,79
360,858,480,30,114,231,122,79
360,858,480,30,586,240,122,79
390,858,480,30,368,200,122,79
390,858,480,30,411,10,122,79
390,858,480,30,444,37,122,79
390,858,480,30,245,71,122,79
390,858,480,30,449,74,122,79
390,858,480,30,427,127,122,79
390,858,480,30,353,123,122,79
390,858,480,30,385,190,122,79
390,858,480,30,461,179,122,79
390,858,480,30,114,231,122,79
390,858,480,30,586,240,122,79
420,858,480,30,368,200,122,79
420,858,480,30,411,10,122,79
420,858,480,30,444,37,122,79
420,858,480,30,245,71,122,79
420,858,480,30,449,74,122,79
420,858,480,30,427,127,122,79
420,858,480,30,353,123,122,79
420,858,480,30,385,190,122,79
420,858,480,30,461,179,122,79
420,858,480,30,114,231,122,79
420,858,480,30,586,240,122,79
450,858,480,30,368,200,122,79
450,858,480,30,411,10,122,79
450,858,480,30,444,37,122,79
450,858,480,30,245,71,122,79
450,858,480,30,449,74,122,79
450,858,480,30,427,127,122,79
450,858,480,30,353,123,122,79
450,858,480,30,385,190,122,79
450,858,480,30,461,179,122,79
450,858,480,30,114,231,122,79
450,858,480,30,586,240,122,79
480,858,480,30,368,200,122,79
480,858,480,30,411,10,122,79
480,858,480,30,444,37,122,79
480,858,480,30,245,71,122,79
480,858,480,30,449,74,122,79
480,858,480,30,427,127,122,79
480,858,480,30,353,123,122,79
480,858,480,30,385,190,122,79
480,858,480,30,461,179,122,79
480,858,480,30,114,231,122,79
480,858,480,30,586,240,122,79
510,858,480,30,368,200,122,79
510,858,480,30,411,10,122,79
510,858,480,30,444,37,122,79
510,858,480,30,245,71,122,79
510,858,480,30,449,74,122,79
510,858,480,30,427,127,122,79
510,858,480,30,353,123,122,79
510,858,480,30,385,190,122,79
510,858,480,30,461,179,122,79
510,858,480,30,114,231,122,79
510,858,480,30,586,240,122,79
540,858,480,30,368,200,122,79
540,858,480,30,411,10,122,79
540,858,480,30,444,37,122,79
540,858,480,30,245,71,122,79
540,858,480,30,449,74,122,79
540,858,480,30,427,127,122,79
540,858,480,30,353,123,122,79
540,858,480,30,385,190,122,79
540,858,480,30,461,179,122,79
540,858,480,30,114,231,122,79
540,858,480,30,586,240,122,79
570,858,480,30,368,200,122,79
570,858,480,30,411,10,122,79
570,858,480,30,444,37,122,79
570,858,480,30,245,71,122,79
570,858,480,30,449,74,122,79
570,858,480,30,427,127,122,79
570,858,480,30,353,123,122,79
570,858,480,30,385,190,122,79
570,858,480,30,461,179,122,79
570,858,480,30,114,231,122,79
570,858,480,30,586,240,122,79
600,858,480,30,368,200,122,79
600,858,480,30,411,10,122,79
600,858,480,30,444,37,122,79
600,858,480,30,245,71,122,79
600,858,480,30,449,74,122,79
600,858,480,30,427,127,122,79
600,858,480,30,353,123,122,79
600,858,480,30,385,190,122,79
600,858,480,30,461,179,122,79
600,858,480,30,114,231,122,79
600,858,480,30,586,240,122,79
630,858,480,30,368,200,122,79
630,858,480,30,411,10,122,79
630,858,480,30,444,37,122,79
630,858,480,30,245,71,122,79
630,858,480,30,449,74,122,79
630,858,480,30,427,127,122,79
630,858,480,30,353,123,122,79
630,858,480,30,385,190,122,79
630,858,480,30,461,179,122,79
630,858,480,30,114,231,122,79
630,858,480,30,586,240,122,79
660,858,480,30,368,200,122,79
660,858,480,30,411,10,122,79
660,858,480,30,444,37,122,79
660,858,480,30,245,71,122,79
660,858,480,30,449,74,122,79
660,858,480,30,427,127,122,79
660,858,480,30,353,123,122,79
660,858,480,30,385,190,122,79
660,858,480,30,461,179,122,79
660,858,480,30,114,231,122,79
660,858,480,30,586,240,122,79
690,858,480,30,368,200,122,79
690,858,480,30,411,10,122,79
690,858,480,30,444,37,122,79
690,858,480,30,245,71,122,79
690,858,480,30,449,74,122,79
690,858,480,30,427,127,122,79
690,858,480,30,353,123,122,79
690,858,480,30,385,190,122,79
690,858,480,30,461,179,122,79
690,858,480,30,114,231,122,79
690,858,480,30,586,240,122,79
720,858,480,30,367,199,122,79
720,858,480,30,118,30,122,79
720,858,480,30,13,40,122,79
720,858,480,30,429,53,122,79
720,858,480,30,547,67,122,79
720,858,480,30,251,69,122,79
720,858,480,30,684,79,122,79
720,858,480,30,387,179,122,79
720,858,480,30,120,182,122,79
720,858,480,30,485,177,122,79
720,858,480,30,511,186,122,79
720,858,480,30,620,242,122,79
720,858,480,30,73,242,122,79
720,858,480,30,139,281,122,79
750,858,480,30,367,199,122,79
750,858,480,30,118,30,122,79
750,858,480,30,13,40,122,79
750,858,480,30,429,53,122,79
750,858,480,30,547,67,122,79
750,858,480,30,251,69,122,79
750,858,480,30,684,79,122,79
750,858,480,30,387,179,122,79
750,858,480,30,120,182,122,79
750,858,480,30,485,177,122,79
750,858,480,30,511,186,122,79
750,858,480,30,620,242,122,79
750,858,480,30,73,242,122,79
750,858,480,30,139,281,122,79
780,858,480,30,367,199,122,79
780,858,480,30,118,30,122,79
780,858,480,30,13,40,122,79
780,858,480,30,429,53,122,79
780,858,480,30,547,67,122,79
780,858,480,30,251,69,122,79
780,858,480,30,684,79,122,79
780,858,480,30,387,179,122,79
780,858,480,30,120,182,122,79
780,858,480,30,485,177,122,79
780,858,480,30,511,186,122,79
780,858,480,30,620,242,122,79
780,858,480,30,73,242,122,79
780,858,480,30,139,281,122,79
810,858,480,30,367,199,122,79
810,858,480,30,118,30,122,79
810,858,480,30,13,40,122,79
810,858,480,30,429,53,122,79
810,858,480,30,547,67,122,79
810,858,480,30,251,69,122,79
810,858,480,30,684,79,122,79
810,858,480,30,387,179,122,79
810,858,480,30,120,182,122,79
810,858,480,30,485,177,122,79
810,858,480,30,511,186,122,79
810,858,480,30,620,242,122,79
810,858,480,30,73,242,122,79
810,858,480,30,139,281,122,79
840,858,480,30,367,199,122,79
840,858,480,30,118,30,122,79
840,858,480,30,13,40,122,79
840,858,480,30,429,53,122,79
840,858,480,30,547,67,122,79
840,858,480,30,251,69,122,79
840,858,480,30,684,79,122,79
840,858,480,30,387,179,122,79
840,858,480,30,120,182,122,79
840,858,480,30,485,177,122,79
840,858,480,30,511,186,122,79
840,858,480,30,620,242,122,79
840,858,480,30,73,242,122,79
840,858,480,30,139,281,122,79
870,858,480,30,367,199,122,79
870,858,480,30,118,30,122,79
870,858,480,30,13,40,122,79
870,858,480,30,429,53,122,79
870,858,480,30,547,67,122,79
870,858,480,30,251,69,122,79
870,858,480,30,684,79,122,79
870,858,480,30,387,179,122,79
870,858,480,30,120,182,122,79
870,858,480,30,485,177,122,79
870,858,480,30,511,186,122,79
870,858,480,30,620,242,122,79
870,858,480,30,73,242,122,79
870,858,480,30,139,281,122,79
900,858,480,30,367,199,122,79
900,858,480,30,118,30,122,79
900,858,480,30,13,40,122,79
900,858,480,30,429,53,122,79
900,858,480,30,547,67,122,79
900,858,480,30,251,69,122,79
900,858,480,30,684,79,122,79
900,858,480,30,387,179,122,79
900,858,480,30,120,182,122,79
900,858,480,30,485,177,122,79
900,858,480,30,511,186,122,79
900,858,480,30,620,242,122,79
900,858,480,30,73,242,122,79
900,858,480,30,139,281,122,79
930,858,480,30,367,199,122,79
930,858,480,30,118,30,122,79
930,858,480,30,13,40,122,79
930,858,480,30,429,53,122,79
930,858,480,30,547,67,122,79
930,858,480,30,251,69,122,79
930,858,480,30,684,79,122,79
930,858,480,30,387,179,122,79
930,858,480,30,120,182,122,79
930,858,480,30,485,177,122,79
930,858,480,30,511,186,122,79
930,858,480,30,620,242,122,79
930,858,480,30,73,242,122,79
930,858,480,30,139,281,122,79
960,858,480,30,367,199,122,79
960,858,480,30,118,30,122,79
960,858,480,30,13,40,122,79
960,858,480,30,429,53,122,79
960,858,480,30,547,67,122,79
960,858,480,30,251,69,122,79
960,858,480,30,684,79,122,79
960,858,480,30,387,179,122,79
960,858,480,30,120,182,122,79
960,858,480,30,485,177,122,79
960,858,480,30,511,186,122,79
960,858,480,30,620,242,122,79
960,858,480,30,73,242,122,79
960,858,480,30,139,281,122,79
990,858,480,30,367,199,122,79
990,858,480,30,118,30,122,79
990,858,480,30,13,40,122,79
990,858,480,30,429,53,122,79
990,858,480,30,547,67,122,79
990,858,480,30,251,69,122,79
990,858,480,30,684,79,122,79
990,858,480,30,387,179,122,79
990,858,480,30,120,182,122,79
990,858,480,30,485,177,122,79
990,858,480,30,511,186,122,79
990,858,480,30,620,242,122,79
990,858,480,30,73,242,122,79
990,858,480,30,139,281,122,79
1020,858,480,30,367,199,122,79
1020,858,480,30,118,30,122,79
1020,858,480,30,13,40,122,79
1020,858,480,30,429,53,122,79
1020,858,480,30,547,67,122,79
1020,858,480,30,251,69,122,79
1020,858,480,30,684,79,122,79
1020,858,480,30,387,179,122,79
1020,858,480,30,120,182,122,79
1020,858,480,30,485,177,122,79
1020,858,480,30,511,186,122,79
1020,858,480,30,620,242,122,79
1020,858,480,30,73,242,122,79
1020,858,480,30,139,281,122,79
1050,858,480,30,367,199,122,79
1050,858,480,30,118,30,122,79
1050,858,480,30,13,40,122,79
1050,858,480,30,429,53,122,79
1050,858,480,30,547,67,122,79
1050,858,480,30,251,69,122,79
1050,858,480,30,684,79,122,79
1050,858,480,30,387,179,122,79
1050,858,480,30,120,182,122,79
1050,858,480,30,485,177,122,79
1050,858,480,30,511,186,122,79
1050,858,480,30,620,242,122,79
1050,858,480,30,73,242,122,79
1050,858,480,30,139,281,122,79
1080,858,480,30,368,199,122,79
1080,858,480,30,269,67,122,79
1080,858,480,30,758,64,122,79
1080,858,480,30,231,93,122,79
1080,858,480,30,680,112,122,79
1080,858,480,30,407,144,122,79
1080,858,480,30,156,145,122,79
1080,858,480,30,379,198,122,79
1080,858,480,30,127,224,122,79
1080,858,480,30,627,249,122,79
1080,858,480,30,62,251,122,79
1080,858,480,30,137,284,122,79
1110,858,480,30,368,199,122,79
1110,858,480,30,269,67,122,79
1110,858,480,30,758,64,122,79
1110,858,480,30,231,93,122,79
1110,858,480,30,680,112,122,79
1110,858,480,30,407,144,122,79
1110,858,480,30,156,145,122,79
1110,858,480,30,379,198,122,79
1110,858,480,30,127,224,122,79
1110,858,480,30,627,249,122,79
1110,858,480,30,62,251,122,79
1110,858,480,30,137,284,122,79
1140,858,480,30,368,199,122,79
1140,858,480,30,269,67,122,79
1140,858,480,30,758,64,122,79
1140,858,480,30,231,93,122,79
1140,858,480,30,680,112,122,79
1140,858,480,30,407,144,122,79
1140,858,480,30,156,145,122,79
1140,858,480,30,379,198,122,79
1140,858,480,30,127,224,122,79
1140,858,480,30,627,249,122,79
1140,858,480,30,62,251,122,79
1140,858,480,30,137,284,122,79
1170,858,480,30,368,199,122,79
1170,858,480,30,269,67,122,79
1170,858,480,30,758,64,122,79
1170,858,480,30,231,93,122,79
1170,858,480,30,680,112,122,79
1170,858,480,30,407,144,122,79
1170,858,480,30,156,145,122,79
1170,858,480,30,379,198,122,79
1170,858,480,30,127,224,122,79
1170,858,480,30,627,249,122,79
1170,858,480,30,62,251,122,79
1170,858,480,30,137,284,122,79
1200,858,480,30,368,199,122,79
1200,858,480,30,269,67,122,79
1200,858,480,30,758,64,122,79
1200,858,480,30,231,93,122,79
1200,858,480,30,680,112,122,79
1200,858,480,30,407,144,122,79
1200,858,480,30,156,145,122,79
1200,858,480,30,379,198,122,79
1200,858,480,30,127,224,122,79
1200,858,480,30,627,249,122,79
1200,858,480,30,62,251,122,79
1200,858,480,30,137,284,122,79
1230,858,480,30,368,199,122,79
1230,858,480,30,269,67,122,79
1230,858,480,30,758,64,122,79
1230,858,480,30,231,93,122,79
1230,858,480,30,680,112,122,79
1230,858,480,30,407,144,122,79
1230,858,480,30,156,145,122,79
1230,858,480,30,379,198,122,79
1230,858,480,30,127,224,122,79
1230,858,480,30,627,249,122,79
1230,858,480,30,62,251,122,79
1230,858,480,30,137,284,122,79
1260,858,480,30,368,199,122,79
1260,858,480,30,269,67,122,79
1260,858,480,30,758,64,122,79
1260,858,480,30,231,93,122,79
1260,858,480,30,680,112,122,79
1260,858,480,30,407,144,122,79
1260,858,480,30,156,145,122,79
1260,858,480,30,379,198,122,79
1260,858,480,30,127,224,122,79
1260,858,480,30,627,249,122,79
1260,858,480,30,62,251,122,79
1260,858,480,30,137,284,122,79
1290,858,480,30,368,199,122,79
1290,858,480,30,269,67,122,79
1290,858,480,30,758,64,122,79
1290,858,480,30,231,93,122,79
1290,858,480,30,680,112,122,79
1290,858,480,30,407,144,122,79
1290,858,480,30,156,145,122,79
1290,858,480,30,379,198,122,79
1290,858,480,30,127,224,122,79
1290,858,480,30,627,249,122,79
1290,858,480,30,62,251,122,79
1290,858,480,30,137,284,122,79
1320,858,480,30,368,199,122,79
1320,858,480,30,269,67,122,79
1320,858,480,30,758,64,122,79
1320,858,480,30,231,93,122,79
1320,858,480,30,680,112,122,79
1320,858,480,30,407,144,122,79
1320,858,480,30,156,145,122,79
1320,858,480,30,379,198,122,79
1320,858,480,30,127,224,122,79
1320,858,480,30,627,249,122,79
1320,858,480,30,62,251,122,79
1320,858,480,30,137,284,122,79
1350,858,480,30,368,199,122,79
1350,858,480,30,269,67,122,79
1350,858,480,30,758,64,122,79
1350,858,480,30,231,93,122,79
1350,858,480,30,680,112,122,79
1350,858,480,30,407,144,122,79
1350,858,480,30,156,145,122,79
1350,858,480,30,379,198,122,79
1350,858,480,30,127,224,122,79
1350,858,480,30,627,249,122,79
1350,858,480,30,62,251,122,79
1350,858,480,30,137,284,122,79
1380,858,480,30,368,199,122,79
1380,858,480,30,269,67,122,79
1380,858,480,30,758,64,122,79
1380,858,480,30,231,93,122,79
1380,858,480,30,680,112,122,79
1380,858,480,30,407,144,122,79
1380,858,480,30,156,145,122,79
1380,858,480,30,379,198,122,79
1380,858,480,30,127,224,122,79
1380,858,480,30,627,249,122,79
1380,858,480,30,62,251,122,79
1380,858,480,30,137,284,122,79
1410,858,480,30,368,199,122,79
1410,858,480,30,269,67,122,79
1410,858,480,30,758,64,122,79
1410,858,480,30,231,93,122,79
1410,858,480,30,680,112,122,79
1410,858,480,30,407,144,122,79
1410,858,480,30,156,145,122,79
1410,858,480,30,379,198,122,79
1410,858,480,30,127,224,122,79
1410,858,480,30,627,249,122,79
1410,858,480,30,62,251,122,79
1410,858,480,30,137,284,122,79
1440,858,480,30,367,199,122,79
1440,858,480,30,224,48,122,79
1440,858,480,30,258,67,122,79
1440,858,480,30,757,64,122,79
1440,858,480,30,412,137,122,79
1440,858,480,30,157,145,122,79
1440,858,480,30,377,198,122,79
1440,858,480,30,67,241,122,79
1440,858,480,30,625,248,122,79
1440,858,480,30,140,287,122,79
1470,858,480,30,367,199,122,79
1470,858,480,30,224,48,122,79
1470,858,480,30,258,67,122,79
1470,858,480,30,757,64,122,79
