f0,W,H,FPS,w0,h0,w,h
0,858,480,30,212,321,110,55
30,858,480,30,219,323,102,51
90,858,480,30,272,325,113,57
120,858,480,30,264,328,129,62
150,858,480,30,268,324,116,69
180,858,480,30,263,330,130,61
210,858,480,30,270,328,124,61
240,858,480,30,277,327,125,61
300,858,480,30,296,354,139,54
330,858,480,30,300,373,129,57
390,858,480,30,299,428,132,52
450,858,480,30,329,453,106,27
480,858,480,30,304,445,110,35
510,858,480,30,292,440,110,40
540,858,480,30,297,437,107,43
570,858,480,30,271,435,126,45
1290,858,480,30,173,324,134,59
1320,858,480,30,178,323,130,61
1440,858,480,30,176,338,124,48
1470,858,480,30,170,335,132,56
1500,858,480,30,176,338,125,54
1530,858,480,30,169,330,130,63
1560,858,480,30,180,338,126,56
1590,858,480,30,176,338,130,56
1620,858,480,30,174,337,130,56
1650,858,480,30,175,336,130,59
1680,858,480,30,175,337,130,57
1710,858,480,30,179,337,127,57
1740,858,480,30,174,337,134,56
1770,858,480,30,171,336,135,56
1800,858,480,30,184,338,121,57
1830,858,480,30,175,338,126,53
1860,858,480,30,174,338,133,52
1890,858,480,30,181,335,122,60
1920,858,480,30,176,337,124,60
1950,858,480,30,178,333,123,65
1980,858,480,30,173,334,126,59
2010,858,480,30,170,336,129,58
2040,858,480,30,170,329,130,65
2070,858,480,30,176,334,123,61
2100,858,480,30,178,336,125,57
2130,858,480,30,173,337,132,55
2160,858,480,30,178,338,126,55
2190,858,480,30,181,337,123,54
2220,858,480,30,179,338,124,55
2250,858,480,30,174,337,128,57
2280,858,480,30,176,337,127,57
2310,858,480,30,176,337,128,57
2340,858,480,30,170,335,131,59
2370,858,480,30,173,335,130,59
2400,858,480,30,174,337,130,56
2430,858,480,30,175,336,129,58
2460,858,480,30,172,335,131,60
2490,858,480,30,177,337,127,56
2520,858,480,30,177,338,126,56
2550,858,480,30,176,339,126,54
2580,858,480,30,174,336,128,58
2610,858,480,30,167,336,135,58
2640,858,480,30,175,336,128,57
2670,858,480,30,168,334,132,60
2700,858,480,30,182,337,121,53
2730,858,480,30,183,337,120,53
2760,858,480,30,179,338,124,54
2790,858,480,30,174,337,127,56
2820,858,480,30,180,338,123,56
2850,858,480,30,178,336,124,57
2880,858,480,30,180,336,121,58
2910,858,480,30,176,337,127,56
