poc,x,y,w,h
0,212.0,321.0,110.0,55.0
30,215.0,321.0,110.0,55.0
60,205.0,300.0,110.0,55.0
90,207.0,299.0,110.0,55.0
120,207.0,302.0,110.0,55.0
150,208.0,300.0,110.0,55.0
180,263.0,330.0,130.0,61.0
210,266.0,327.0,130.0,61.0
240,274.0,328.0,130.0,61.0
270,298.0,334.0,130.0,61.0
300,303.0,353.0,130.0,61.0
330,306.0,369.0,130.0,61.0
390,299.0,428.0,132.0,52.0
420,288.0,424.0,132.0,52.0
450,289.0,427.0,132.0,52.0
480,271.0,422.0,132.0,52.0
510,260.0,420.0,132.0,52.0
540,260.0,420.0,132.0,52.0
570,271.0,435.0,126.0,45.0
600,272.0,426.0,126.0,45.0
630,296.0,425.0,126.0,45.0
660,310.0,420.0,126.0,45.0
690,333.0,427.0,126.0,45.0
720,352.0,434.0,126.0,45.0
1500,176.0,338.0,125.0,54.0
1530,156.0,325.0,125.0,54.0
1560,157.0,324.0,125.0,54.0
1590,157.0,325.0,125.0,54.0
1620,155.0,325.0,125.0,54.0
1650,154.0,319.0,125.0,54.0
1650,175.0,336.0,130.0,59.0
1680,180.0,340.0,130.0,59.0
1710,179.0,339.0,130.0,59.0
1740,179.0,339.0,130.0,59.0
1770,180.0,339.0,130.0,59.0
1800,179.0,340.0,130.0,59.0
1800,184.0,338.0,121.0,57.0
1830,187.0,336.0,121.0,57.0
1860,187.0,339.0,121.0,57.0
1890,187.0,337.0,121.0,57.0
1920,185.0,336.0,121.0,57.0
1950,187.0,334.0,121.0,57.0
1950,178.0,333.0,123.0,65.0
1980,179.0,334.0,123.0,65.0
2010,177.0,334.0,123.0,65.0
2040,180.0,334.0,123.0,65.0
2070,180.0,335.0,123.0,65.0
2100,179.0,335.0,123.0,65.0
2100,178.0,336.0,125.0,57.0
2130,179.0,338.0,125.0,57.0
2160,180.0,336.0,125.0,57.0
2190,180.0,336.0,125.0,57.0
2220,180.0,336.0,125.0,57.0
2250,182.0,335.0,125.0,57.0
2250,174.0,337.0,128.0,57.0
2280,174.0,337.0,128.0,57.0
2310,173.0,336.0,128.0,57.0
2340,173.0,336.0,128.0,57.0
2370,173.0,336.0,128.0,57.0
2400,173.0,336.0,128.0,57.0
2400,174.0,337.0,130.0,56.0
2430,173.0,337.0,130.0,56.0
2460,174.0,337.0,130.0,56.0
2490,174.0,337.0,130.0,56.0
2520,174.0,337.0,130.0,56.0
2550,174.0,337.0,130.0,56.0
2550,176.0,339.0,126.0,54.0
2580,175.0,339.0,126.0,54.0
2610,175.0,339.0,126.0,54.0
2640,175.0,339.0,126.0,54.0
2670,179.0,338.0,126.0,54.0
2700,177.0,339.0,126.0,54.0
2700,182.0,337.0,121.0,53.0
2730,182.0,337.0,121.0,53.0
2760,182.0,337.0,121.0,53.0
2790,182.0,337.0,121.0,53.0
2820,182.0,337.0,121.0,53.0
2850,182.0,337.0,121.0,53.0
2850,178.0,336.0,124.0,57.0
2880,179.0,337.0,124.0,57.0
2910,178.0,337.0,124.0,57.0
2940,178.0,337.0,124.0,57.0
2970,176.0,337.0,124.0,57.0
3000,161.0,332.0,124.0,57.0
4470,180.0,342.0,124.0,47.0
4500,194.0,350.0,124.0,47.0
4530,194.0,351.0,124.0,47.0
4560,205.0,354.0,124.0,47.0
4590,200.0,354.0,124.0,47.0
4620,200.0,354.0,124.0,47.0
4620,305.0,302.0,117.0,50.0
4650,311.0,302.0,117.0,50.0
4680,312.0,300.0,117.0,50.0
4710,295.0,312.0,117.0,50.0
4740,297.0,309.0,117.0,50.0
4770,281.0,308.0,117.0,50.0
